Id,objectid,name,y,x,the_geom,id
87,88,Budhabare Police Station,26.7199292,88.0496146,0101000020E61000000891B7E22C035640009BB2474DB83A40,88
110,111,bungkot police,27.9635593,84.6757517,0101000020E61000001C040F843F2B5540001080D2ABF63B40,111
116,118,Chanaute Police,28.1111718,84.6659922,0101000020E61000002841BF9D9F2A554060F94CC1751C3C40,118
225,228,Chaurjahari ilaka,28.6404537,82.2012195,0101000020E6100000D0EEC0C7E08C5440E04A0EC6F4A33C40,228
212,215,Chautha police post,29.4314053,82.107149,0101000020E610000054F17A87DB865440D02AE593706E3D40,215
94,95,Check post,28.6021107,83.6431552,0101000020E6100000A4676D7429E95440A09146ED239A3C40,95
95,96,Check post,28.4979999,83.6543644,0101000020E6100000D0A0381BE1E95440C085E5EB7C7F3C40,96
97,98,Check post,27.584158,83.8712996,0101000020E61000004889655FC3F75440D060F3608B953B40,98
98,99,Check post,27.6409833,83.5984632,0101000020E6100000141798384DE65440E0A9457B17A43B40,99
99,100,Check post,27.6454109,84.1292308,0101000020E61000004070425145085540503C12A639A53B40,100
232,235,Chhorepatan police Station,28.1903407,83.9569494,0101000020E61000006055B2A83EFD54400095082BBA303C40,235
6,7,"City Police, Dhangadhi",28.7051109,80.5886841,0101000020E6100000F4DA1200AD255440F00ADE2582B43C40,7
21,22,Community Police Service,27.7268479,85.3351501,0101000020E61000005C78671973555540C06D39B412BA3B40,22
189,191,"Community Police Service Center, Kalika",28.2142412,84.074808,0101000020E610000094C97EA7C9045540E09EE482D8363C40,191
151,153,CRV(Metro) Police Station,28.1655885,84.0698029,0101000020E6100000342695A67704554060B40702642A3C40,153
55,56,Damak Police Station,26.6602982,87.7002532,0101000020E6100000D80ACCF2D0EC554040E6844D09A93A40,56
247,250,Dharapori Police Post,30.0032382,81.768782,0101000020E6100000707F6AB9337154404074FB37D4003E40,250
131,133,District Police Gorkha,27.9952959,84.6245493,0101000020E610000090E4A09DF827554060DA4BB6CBFE3B40,133
75,76,District Police Headquarters,26.5685546,88.0738003,0101000020E6100000D4FEE424B9045640705756CB8C913A40,76
33,34,District Police office,28.2639958,83.600564,0101000020E6100000B808FDA36FE6544060DA903A95433C40,34
63,64,District Police Office,27.2117438,86.7926078,0101000020E610000060781016BAB25540402579D734363B40,64
65,66,District Police Office,27.6690131,86.0501783,0101000020E6100000C0C80B1F3683554010B44A7144AB3B40,66
69,70,District Police Office,28.2278934,84.3785885,0101000020E6100000802B42CB3A185540F0CDCB38573A3C40,70
70,71,District Police Office,28.7043131,80.5799566,0101000020E6100000108B49021E25544030CD03DD4DB43C40,71
192,194,District Police Office,28.1098036,85.298852,0101000020E6100000144923642053554040A7B7161C1C3C40,194
129,131,District Police Office Tanahun,27.9760969,84.2658448,0101000020E6100000583CE89903115540D0BC887CE1F93B40,131
133,135,"District Police Office, Chitwan",27.6787816,84.4349116,0101000020E610000028397697D51B5540006086A1C4AD3B40,135
117,119,"District Police Office, Rukum",28.6292361,82.4527883,0101000020E6100000B062C77BFA9C5440B019F59D15A13C40,119
18,19,District Police Station,27.6806874,84.4351937,0101000020E6100000540CAD36DA1B554000888B8741AE3B40,19
