FID,name,operator_t,isced_leve,Lat,Log,Remarks
2009,WEB school, , ,27.7167293,85.3817449, 
2011,Little Garden English School, , ,27.6073588,85.3245899, 
2012,Moonlight School, , ,27.7348284,85.3591619, 
2019,Mothers Arm Children Care & Kindergarten, , ,27.6799213,85.3232937, 
2029,nepal pathfinder coed, , ,27.7031464,85.3458891, 
2030,à¤¬à¤¾à¤¸à¥ à¤®à¤¾à¤§à¥à¤¯à¤®à¤¿à¤• à¤µà¤¿à¤¦à¥à¤¯à¤¾à¤²à¤¯ (Basu secondary school), , ,27.6783129,85.4292246, 
2031,Bagiswori Secondary School, , ,27.6730703,85.4387743, 
2033,Pranodaya Primary School, , ,27.6793709,85.3882594, 
2042,Balpith Primary School, , ,27.6988617,85.3514459, 
2043,Galaxy Public School, , ,27.7082521,85.3303915, 
2046,Southwestern School, , ,27.7365889,85.3219065, 
2047,Sahara Montessori School, , ,27.7288719,85.3638078, 
2048,Elim Academy, , ,27.7400571,85.3359387, 
2049,Serkong Dorjee Chang Academy, , ,27.7141557,85.2875981, 
2051,Geetanjali H.S. School, , ,27.7192068,85.3049487, 
2052,Shree Bal Byabasaye Kendra Secondary School, , ,27.7119204,85.3409446, 
2053,Reliable Students School, , ,27.6585194,85.3271776, 
2057,Sano Thimi Technical chool, , ,27.6808686,85.3725551, 
2058,Vision Montessori School, , ,27.6775996,85.3485328, 
2059,Samriddhi College, , ,27.6773407,85.3486696, 
2060,North Pole Academy, , ,27.750788,85.3153375, 
2061,Himalaya Vidyalaya Mandir, , ,27.7102419,85.3387995, 
2062,New Florence International Boarding School, , ,27.7010531,85.3020348, 
2063,shiksha kids education, , ,27.6892681,85.2947596, 
2064,Paradise International Academy, , ,27.7135639,85.3395827, 
2066,Paragon school, , ,27.7016314,85.3501038, 
2069,Himalayan Boarding High School, , ,27.7765938,85.36181, 
2071,Himalaya Boarding School, , ,27.7765307,85.3616792, 
2077,Dolgiri Higher Secondary school, , ,27.7156841,85.4268248, 
2078,Champak Vidyapith, , ,27.7170348,85.430116, 
2080,Tangal High School, , ,27.7161957,85.3318519, 
2081,Shree Sana Kisan Sahakari Secondary School, , ,27.7389232,85.2090976, 
2082,Che high schiol, , ,27.7214995,85.3037948, 
2083,Geetajali Academy, , ,27.7221863,85.3029608, 
